timestamp;body_idx;PELVIS (w);PELVIS (x);PELVIS (y);PELVIS (z);SPINE_NAVEL (w);SPINE_NAVEL (x);SPINE_NAVEL (y);SPINE_NAVEL (z);SPINE_CHEST (w);SPINE_CHEST (x);SPINE_CHEST (y);SPINE_CHEST (z);NECK (w);NECK (x);NECK (y);NECK (z);CLAVICLE_LEFT (w);CLAVICLE_LEFT (x);CLAVICLE_LEFT (y);CLAVICLE_LEFT (z);SHOULDER_LEFT (w);SHOULDER_LEFT (x);SHOULDER_LEFT (y);SHOULDER_LEFT (z);ELBOW_LEFT (w);ELBOW_LEFT (x);ELBOW_LEFT (y);ELBOW_LEFT (z);WRIST_LEFT (w);WRIST_LEFT (x);WRIST_LEFT (y);WRIST_LEFT (z);HAND_LEFT (w);HAND_LEFT (x);HAND_LEFT (y);HAND_LEFT (z);HANDTIP_LEFT (w);HANDTIP_LEFT (x);HANDTIP_LEFT (y);HANDTIP_LEFT (z);THUMB_LEFT (w);THUMB_LEFT (x);THUMB_LEFT (y);THUMB_LEFT (z);CLAVICLE_RIGHT (w);CLAVICLE_RIGHT (x);CLAVICLE_RIGHT (y);CLAVICLE_RIGHT (z);SHOULDER_RIGHT (w);SHOULDER_RIGHT (x);SHOULDER_RIGHT (y);SHOULDER_RIGHT (z);ELBOW_RIGHT (w);ELBOW_RIGHT (x);ELBOW_RIGHT (y);ELBOW_RIGHT (z);WRIST_RIGHT (w);WRIST_RIGHT (x);WRIST_RIGHT (y);WRIST_RIGHT (z);HAND_RIGHT (w);HAND_RIGHT (x);HAND_RIGHT (y);HAND_RIGHT (z);HANDTIP_RIGHT (w);HANDTIP_RIGHT (x);HANDTIP_RIGHT (y);HANDTIP_RIGHT (z);THUMB_RIGHT (w);THUMB_RIGHT (x);THUMB_RIGHT (y);THUMB_RIGHT (z);HIP_LEFT (w);HIP_LEFT (x);HIP_LEFT (y);HIP_LEFT (z);KNEE_LEFT (w);KNEE_LEFT (x);KNEE_LEFT (y);KNEE_LEFT (z);ANKLE_LEFT (w);ANKLE_LEFT (x);ANKLE_LEFT (y);ANKLE_LEFT (z);FOOT_LEFT (w);FOOT_LEFT (x);FOOT_LEFT (y);FOOT_LEFT (z);HIP_RIGHT (w);HIP_RIGHT (x);HIP_RIGHT (y);HIP_RIGHT (z);KNEE_RIGHT (w);KNEE_RIGHT (x);KNEE_RIGHT (y);KNEE_RIGHT (z);ANKLE_RIGHT (w);ANKLE_RIGHT (x);ANKLE_RIGHT (y);ANKLE_RIGHT (z);FOOT_RIGHT (w);FOOT_RIGHT (x);FOOT_RIGHT (y);FOOT_RIGHT (z);HEAD (w);HEAD (x);HEAD (y);HEAD (z);NOSE (w);NOSE (x);NOSE (y);NOSE (z);EYE_LEFT (w);EYE_LEFT (x);EYE_LEFT (y);EYE_LEFT (z);EAR_LEFT (w);EAR_LEFT (x);EAR_LEFT (y);EAR_LEFT (z);EYE_RIGHT (w);EYE_RIGHT (x);EYE_RIGHT (y);EYE_RIGHT (z);EAR_RIGHT (w);EAR_RIGHT (x);EAR_RIGHT (y);EAR_RIGHT (z)
333500;1;0.405011;-0.381068;0.810854;-0.182397;0.431991;-0.222578;0.867846;-0.103374;0.465741;-0.278450;0.836647;-0.074658;0.470228;-0.210460;0.856282;-0.037068;0.900896;-0.142881;0.129042;0.388998;0.648764;-0.206777;0.061028;0.729811;0.565030;-0.198860;0.083283;0.796404;-0.004718;0.171105;0.808584;-0.562933;0.099546;0.317794;0.762949;-0.554081;0.099546;0.317794;0.762949;-0.554081;0.491457;-0.221478;-0.452869;0.710160;0.299122;0.893755;-0.126162;-0.309534;0.293975;0.683486;-0.502649;-0.440193;-0.383604;-0.556177;0.640685;0.364744;0.756436;0.052350;-0.051872;-0.649902;-0.490880;-0.066851;0.031020;0.868105;-0.490880;-0.066851;0.031020;0.868105;0.509461;0.406087;-0.607176;-0.454840;-0.313769;0.613542;-0.468002;0.553253;0.499470;-0.391435;0.665027;-0.393760;-0.366630;0.570401;-0.539453;0.499215;0.616364;-0.024966;0.781233;-0.095641;0.300033;0.573676;0.679953;0.344298;0.059398;0.854163;0.248679;0.452810;0.099551;0.769496;0.475275;0.414825;-0.222690;0.883138;-0.203146;0.359457;0.310195;-0.499355;0.706023;-0.394911;0.310195;-0.499355;0.706023;-0.394911;0.498585;0.146136;0.852331;-0.059903;0.394911;0.706023;0.499355;0.310195;0.498585;0.146136;0.852331;-0.059903;0.310195;-0.499355;0.706023;-0.394911
366888;1;0.484944;-0.301012;0.793023;-0.212923;0.525554;-0.062007;0.845960;-0.065567;0.513065;-0.262800;0.809864;-0.108729;0.520131;-0.197008;0.828330;-0.067235;0.898508;-0.155225;0.200410;0.358364;0.643831;-0.229488;0.166834;0.710622;0.521790;-0.199826;0.201415;0.804510;0.342700;-0.469478;-0.296733;0.757692;0.395712;-0.447189;-0.329367;0.731404;0.395712;-0.447189;-0.329367;0.731404;0.543521;-0.422132;0.261087;0.676922;0.266459;0.934289;-0.141174;-0.190193;0.112474;0.701361;-0.678668;-0.186690;-0.130506;-0.630289;0.745139;0.174561;0.857820;-0.167504;-0.377384;-0.306053;-0.087143;-0.270552;0.311895;0.906603;-0.087143;-0.270552;0.311895;0.906603;0.603812;0.325258;-0.723148;0.081708;-0.205646;0.683354;-0.289624;0.637852;0.565294;-0.341466;0.659016;-0.359918;-0.413727;0.528054;-0.497589;0.549903;0.685163;-0.024444;0.721297;-0.098407;0.494558;0.407530;0.729159;0.240121;0.140344;0.818587;0.166149;0.531614;0.217839;0.711747;0.490249;0.453451;-0.165609;0.853336;-0.152176;0.470356;0.398884;-0.433309;0.714830;-0.377032;0.398884;-0.433309;0.714830;-0.377032;0.548655;0.199066;0.811857;0.015451;0.377032;0.714830;0.433309;0.398884;0.548655;0.199066;0.811857;0.015451;0.398884;-0.433309;0.714830;-0.377032
400211;1;0.555833;-0.239099;0.771451;-0.196839;0.579547;-0.117214;0.799103;-0.108726;0.508398;-0.214520;0.826481;-0.111543;0.515705;-0.147551;0.841022;-0.070413;0.905793;-0.109797;0.270805;0.306837;0.644291;-0.236804;0.182187;0.704003;0.502809;-0.198978;0.222880;0.811120;0.363470;-0.393087;-0.271652;0.799736;0.487658;-0.344145;-0.331477;0.730669;0.487658;-0.344145;-0.331477;0.730669;0.596173;-0.391865;0.257393;0.651743;0.208768;0.954050;-0.182663;-0.113305;-0.147568;-0.681541;0.688258;0.200065;-0.158841;-0.640787;0.726353;0.191238;0.779866;-0.329868;-0.008369;-0.531908;0.300453;0.081413;0.319774;0.894899;0.300453;0.081413;0.319774;0.894899;-0.455164;0.195666;0.840870;0.217896;-0.132695;0.700076;-0.173288;0.679894;0.577392;-0.367987;0.620306;-0.382655;0.462682;-0.518278;0.519027;-0.497919;0.683301;-0.001995;0.729629;-0.027152;0.558022;0.353626;0.719912;0.212806;0.202357;0.776454;0.200913;0.561965;0.268400;0.716529;0.416443;0.491043;-0.156510;0.805121;-0.207995;0.532938;0.418601;-0.418744;0.709948;-0.381314;0.418601;-0.418744;0.709948;-0.381314;0.565625;0.205912;0.798106;0.026366;0.381314;0.709948;0.418744;0.418601;0.565625;0.205912;0.798106;0.026366;0.418601;-0.418744;0.709948;-0.381314
433555;1;0.554161;-0.240856;0.772178;-0.196560;0.578126;-0.116805;0.800392;-0.107240;0.512061;-0.215800;0.823347;-0.115429;0.519668;-0.149078;0.838001;-0.073994;0.904808;-0.112406;0.277319;0.302954;0.639967;-0.243840;0.194589;0.702225;0.502129;-0.204544;0.235552;0.806563;0.412583;-0.348138;-0.195023;0.818866;0.526699;-0.316265;-0.243333;0.750569;0.526699;-0.316265;-0.243333;0.750569;0.609099;-0.335167;0.341482;0.632497;0.208351;0.955566;-0.183200;-0.099601;0.139518;0.688661;-0.686574;-0.186805;-0.145914;-0.664434;0.710047;0.181853;0.849618;-0.086986;0.103353;-0.509804;0.279385;0.121929;0.058151;0.950629;0.279385;0.121929;0.058151;0.950629;0.510475;-0.237153;-0.749514;-0.348429;-0.123520;0.703926;-0.162821;0.680235;0.576911;-0.368965;0.621246;-0.380910;0.466929;-0.508972;0.513020;-0.509642;0.694514;0.000343;0.718745;-0.032488;0.514470;0.357642;0.742406;0.237163;0.172009;0.789301;0.236658;0.539824;0.259181;0.713156;0.444214;0.476348;-0.152578;0.822185;-0.185926;0.515911;0.428395;-0.423750;0.711825;-0.360858;0.428395;-0.423750;0.711825;-0.360858;0.558087;0.203699;0.802973;0.047756;0.360858;0.711825;0.423750;0.428395;0.558087;0.203699;0.802973;0.047756;0.428395;-0.423750;0.711825;-0.360858
466877;1;0.554205;-0.240794;0.772170;-0.196543;0.578165;-0.116754;0.800373;-0.107222;0.512149;-0.215717;0.823293;-0.115576;0.519768;-0.148999;0.837941;-0.074133;0.904948;-0.112541;0.277138;0.302652;0.640030;-0.244584;0.195319;0.701706;0.502510;-0.205209;0.236347;0.805924;0.413932;-0.349691;-0.188605;0.819027;0.526716;-0.319152;-0.236637;0.751475;0.526716;-0.319152;-0.236637;0.751475;0.607191;-0.338342;0.347127;0.629561;0.208233;0.955642;-0.183203;-0.099122;0.139131;0.689205;-0.686543;-0.185197;-0.145407;-0.665231;0.709797;0.180312;0.850020;-0.084227;0.119236;-0.506117;0.275742;0.136604;0.051485;0.950082;0.275742;0.136604;0.051485;0.950082;0.558934;-0.199625;-0.732919;-0.332525;-0.123665;0.703867;-0.162946;0.680240;0.577031;-0.368806;0.621306;-0.380784;0.467197;-0.508732;0.513270;-0.509385;0.694523;0.000692;0.718753;-0.032119;0.516222;0.357699;0.741028;0.237576;0.173166;0.788200;0.236094;0.541307;0.259872;0.712389;0.443895;0.477415;-0.152837;0.821422;-0.185611;0.517160;0.428023;-0.422218;0.712011;-0.362723;0.428023;-0.422218;0.712011;-0.362723;0.559142;0.204915;0.802021;0.046174;0.362723;0.712011;0.422218;0.428023;0.559142;0.204915;0.802021;0.046174;0.428023;-0.422218;0.712011;-0.362723
500222;1;0.557428;-0.243979;0.774062;-0.174863;0.576996;-0.128252;0.801404;-0.091533;0.520570;-0.205049;0.821398;-0.110757;0.527775;-0.138518;0.835196;-0.068654;0.908723;-0.102340;0.274623;0.297206;0.636083;-0.249181;0.206251;0.700548;0.516778;-0.213271;0.243200;0.792660;0.363236;-0.367714;-0.198183;0.832808;0.507021;-0.326100;-0.261053;0.753950;0.507021;-0.326100;-0.261053;0.753950;0.572373;-0.340025;0.344802;0.661727;0.193991;0.958705;-0.187712;-0.089537;0.134983;0.694875;-0.680524;-0.189249;-0.140594;-0.674168;0.701044;0.185118;0.830565;0.059649;0.029532;-0.552930;0.337712;0.014372;-0.064989;0.938893;0.337712;0.014372;-0.064989;0.938893;0.762912;0.371994;-0.527529;-0.036046;-0.116801;0.703019;-0.157000;0.683720;0.575610;-0.371229;0.617360;-0.386948;0.466824;-0.511872;0.519419;-0.500266;0.687869;0.002833;0.725366;-0.025925;0.482412;0.405812;0.715392;0.301347;0.140840;0.787550;0.237020;0.551136;0.246193;0.700738;0.455479;0.490810;-0.171885;0.821306;-0.169070;0.517037;0.425343;-0.419967;0.715454;-0.361714;0.425343;-0.419967;0.715454;-0.361714;0.556534;0.208941;0.802863;0.044992;0.361714;0.715454;0.419967;0.425343;0.556534;0.208941;0.802863;0.044992;0.425343;-0.419967;0.715454;-0.361714
533544;1;0.569389;-0.236562;0.762002;-0.197959;0.592502;-0.120573;0.788715;-0.111053;0.523155;-0.213890;0.814651;-0.130013;0.531896;-0.147872;0.829180;-0.087641;0.908649;-0.122820;0.275386;0.288850;0.633823;-0.253046;0.192168;0.705201;0.514141;-0.219418;0.229818;0.796679;0.352225;-0.397107;-0.162757;0.831717;0.534403;-0.348914;-0.249885;0.728169;0.534403;-0.348914;-0.249885;0.728169;0.579738;-0.327033;0.376940;0.644103;0.213729;0.953979;-0.193535;-0.082398;0.130410;0.692393;-0.683278;-0.191616;-0.134288;-0.678326;0.697245;0.188919;0.817747;0.136770;-0.025899;-0.558491;0.373592;-0.054143;-0.128239;0.917089;0.373592;-0.054143;-0.128239;0.917089;0.661785;0.633807;-0.278673;-0.287526;-0.103548;0.696872;-0.144973;0.694716;0.582883;-0.362774;0.612456;-0.391841;0.469123;-0.509925;0.519500;-0.500019;0.689318;0.004281;0.724044;-0.024138;0.502490;0.376288;0.720038;0.295732;0.134602;0.780053;0.226941;0.567360;0.238472;0.698202;0.443196;0.509138;-0.190313;0.810900;-0.175896;0.524674;0.427784;-0.407555;0.721737;-0.360548;0.427784;-0.407555;0.721737;-0.360548;0.557435;0.222160;0.798531;0.047543;0.360548;0.721737;0.407555;0.427784;0.557435;0.222160;0.798531;0.047543;0.427784;-0.407555;0.721737;-0.360548
566888;1;0.568305;-0.234012;0.763781;-0.197248;0.591761;-0.114627;0.790559;-0.108146;0.525670;-0.202076;0.816561;-0.126746;0.534141;-0.135943;0.830136;-0.084183;0.913223;-0.113143;0.268969;0.284389;0.639090;-0.253432;0.192949;0.700076;0.512531;-0.217455;0.232746;0.797405;0.369017;-0.369034;-0.096688;0.847521;0.550106;-0.337851;-0.177177;0.742865;0.550106;-0.337851;-0.177177;0.742865;0.571664;-0.308609;0.440177;0.619843;0.202585;0.955221;-0.199554;-0.081793;0.118480;0.693547;-0.684955;-0.189185;-0.121999;-0.680609;0.697813;0.186935;0.831602;0.213482;-0.023756;-0.512151;0.348764;-0.062998;-0.205354;0.912264;0.348764;-0.062998;-0.205354;0.912264;0.497847;0.740889;-0.173414;-0.416124;-0.105926;0.696971;-0.147569;0.693711;0.579331;-0.367804;0.610185;-0.395942;0.469709;-0.509110;0.521903;-0.497793;0.688171;0.006564;0.725180;-0.022158;0.498910;0.365911;0.728854;0.293207;0.134369;0.779049;0.241121;0.562929;0.230631;0.700001;0.446123;0.507723;-0.194880;0.814199;-0.175058;0.518127;0.448879;-0.431445;0.706265;-0.336976;0.448879;-0.431445;0.706265;-0.336976;0.555683;0.194327;0.804483;0.079127;0.336976;0.706265;0.431445;0.448879;0.555683;0.194327;0.804483;0.079127;0.448879;-0.431445;0.706265;-0.336976
600222;1;0.568307;-0.233999;0.763788;-0.197229;0.591763;-0.114592;0.790567;-0.108112;0.525673;-0.202022;0.816582;-0.126685;0.534139;-0.135887;0.830153;-0.084121;0.913235;-0.113062;0.268941;0.284412;0.639126;-0.253350;0.192832;0.700105;0.512558;-0.217393;0.232618;0.797442;0.369082;-0.368921;-0.096905;0.847517;0.550176;-0.337690;-0.177367;0.742841;0.550176;-0.337690;-0.177367;0.742841;0.571723;-0.308297;0.440062;0.620025;0.202512;0.955235;-0.199541;-0.081846;0.118402;0.693552;-0.684876;-0.189502;-0.121912;-0.680673;0.697678;0.187263;0.831418;0.212725;-0.020474;-0.512907;0.349546;-0.059631;-0.205220;0.912221;0.349546;-0.059631;-0.205220;0.912221;0.496904;0.740210;-0.171052;-0.419424;-0.105948;0.696958;-0.147582;0.693718;0.579351;-0.367786;0.610184;-0.395932;0.469763;-0.509027;0.521863;-0.497869;0.688263;0.006595;0.725093;-0.022175;0.498885;0.365832;0.728899;0.293236;0.134356;0.779016;0.241242;0.562925;0.230598;0.699936;0.446255;0.507711;-0.194893;0.814246;-0.174918;0.518095;0.448904;-0.431355;0.706422;-0.336729;0.448904;-0.431355;0.706422;-0.336729;0.555526;0.194502;0.804530;0.079319;0.336729;0.706422;0.431355;0.448904;0.555526;0.194502;0.804530;0.079319;0.448904;-0.431355;0.706422;-0.336729
633555;1;0.566278;-0.233693;0.765593;-0.196429;0.589985;-0.111423;0.792673;-0.105702;0.526828;-0.198326;0.817680;-0.120496;0.534794;-0.132115;0.830950;-0.077859;0.914284;-0.106642;0.266722;0.285606;0.641268;-0.251767;0.186953;0.700312;0.509230;-0.215282;0.228017;0.801465;0.379816;-0.359792;-0.088319;0.847637;0.535911;-0.336056;-0.155940;0.758649;0.535911;-0.336056;-0.155940;0.758649;0.559565;-0.308244;0.451498;0.622914;0.198543;0.955504;-0.196686;-0.094376;0.130562;0.699218;-0.674637;-0.197262;-0.141155;-0.661276;0.711867;0.189827;0.753515;0.418992;0.087605;-0.498986;0.351205;0.008699;-0.427964;0.832722;0.351205;0.008699;-0.427964;0.832722;0.304611;0.832491;-0.151034;-0.437448;-0.112231;0.696641;-0.148937;0.692758;0.580072;-0.371025;0.608187;-0.394924;0.475080;-0.503644;0.516104;-0.504260;0.696494;0.006350;0.717167;-0.022959;0.493255;0.361681;0.734889;0.292958;0.130664;0.780455;0.248400;0.558672;0.224745;0.701131;0.450243;0.505161;-0.197241;0.817868;-0.172915;0.512141;0.442924;-0.433904;0.705910;-0.342399;0.442924;-0.433904;0.705910;-0.342399;0.555307;0.192337;0.805970;0.071082;0.342399;0.705910;0.433904;0.442924;0.555307;0.192337;0.805970;0.071082;0.442924;-0.433904;0.705910;-0.342399
