timestamp;body_idx;PELVIS (c);PELVIS (x);PELVIS (y);PELVIS (z);SPINE_NAVEL (c);SPINE_NAVEL (x);SPINE_NAVEL (y);SPINE_NAVEL (z);SPINE_CHEST (c);SPINE_CHEST (x);SPINE_CHEST (y);SPINE_CHEST (z);NECK (c);NECK (x);NECK (y);NECK (z);CLAVICLE_LEFT (c);CLAVICLE_LEFT (x);CLAVICLE_LEFT (y);CLAVICLE_LEFT (z);SHOULDER_LEFT (c);SHOULDER_LEFT (x);SHOULDER_LEFT (y);SHOULDER_LEFT (z);ELBOW_LEFT (c);ELBOW_LEFT (x);ELBOW_LEFT (y);ELBOW_LEFT (z);WRIST_LEFT (c);WRIST_LEFT (x);WRIST_LEFT (y);WRIST_LEFT (z);HAND_LEFT (c);HAND_LEFT (x);HAND_LEFT (y);HAND_LEFT (z);HANDTIP_LEFT (c);HANDTIP_LEFT (x);HANDTIP_LEFT (y);HANDTIP_LEFT (z);THUMB_LEFT (c);THUMB_LEFT (x);THUMB_LEFT (y);THUMB_LEFT (z);CLAVICLE_RIGHT (c);CLAVICLE_RIGHT (x);CLAVICLE_RIGHT (y);CLAVICLE_RIGHT (z);SHOULDER_RIGHT (c);SHOULDER_RIGHT (x);SHOULDER_RIGHT (y);SHOULDER_RIGHT (z);ELBOW_RIGHT (c);ELBOW_RIGHT (x);ELBOW_RIGHT (y);ELBOW_RIGHT (z);WRIST_RIGHT (c);WRIST_RIGHT (x);WRIST_RIGHT (y);WRIST_RIGHT (z);HAND_RIGHT (c);HAND_RIGHT (x);HAND_RIGHT (y);HAND_RIGHT (z);HANDTIP_RIGHT (c);HANDTIP_RIGHT (x);HANDTIP_RIGHT (y);HANDTIP_RIGHT (z);THUMB_RIGHT (c);THUMB_RIGHT (x);THUMB_RIGHT (y);THUMB_RIGHT (z);HIP_LEFT (c);HIP_LEFT (x);HIP_LEFT (y);HIP_LEFT (z);KNEE_LEFT (c);KNEE_LEFT (x);KNEE_LEFT (y);KNEE_LEFT (z);ANKLE_LEFT (c);ANKLE_LEFT (x);ANKLE_LEFT (y);ANKLE_LEFT (z);FOOT_LEFT (c);FOOT_LEFT (x);FOOT_LEFT (y);FOOT_LEFT (z);HIP_RIGHT (c);HIP_RIGHT (x);HIP_RIGHT (y);HIP_RIGHT (z);KNEE_RIGHT (c);KNEE_RIGHT (x);KNEE_RIGHT (y);KNEE_RIGHT (z);ANKLE_RIGHT (c);ANKLE_RIGHT (x);ANKLE_RIGHT (y);ANKLE_RIGHT (z);FOOT_RIGHT (c);FOOT_RIGHT (x);FOOT_RIGHT (y);FOOT_RIGHT (z);HEAD (c);HEAD (x);HEAD (y);HEAD (z);NOSE (c);NOSE (x);NOSE (y);NOSE (z);EYE_LEFT (c);EYE_LEFT (x);EYE_LEFT (y);EYE_LEFT (z);EAR_LEFT (c);EAR_LEFT (x);EAR_LEFT (y);EAR_LEFT (z);EYE_RIGHT (c);EYE_RIGHT (x);EYE_RIGHT (y);EYE_RIGHT (z);EAR_RIGHT (c);EAR_RIGHT (x);EAR_RIGHT (y);EAR_RIGHT (z)
333500;1;2;44.451725;85.544258;2215.282715;2;-10.176725;-27.522446;2141.065918;2;-71.709442;-82.992302;2058.998047;2;-144.376755;-178.681702;1928.341431;2;-109.508469;-160.010712;1934.789185;2;-31.894840;-82.401512;1894.622070;2;-48.319572;125.847878;1808.539429;2;-101.869865;290.232056;1730.627441;2;-174.690994;310.958466;1709.045654;2;-243.440948;344.053345;1664.514038;2;-177.480865;351.225647;1731.070679;2;-154.473663;-167.145844;1965.685913;2;-237.969971;-122.986855;2017.062622;2;-262.637177;94.774918;2087.553467;2;-245.924500;285.367065;2071.074219;0;-263.573547;368.059143;2065.045166;0;-219.361481;442.428375;2072.479736;0;-210.869919;383.976562;2014.364014;2;103.780479;86.504295;2170.150391;2;120.221237;388.112976;2044.068848;2;181.099670;674.014099;2155.447998;2;158.205612;746.566895;2022.509766;2;-9.047620;84.678551;2255.980469;1;-61.934566;407.306915;2251.734375;1;85.446144;558.598450;2486.915771;1;29.000423;686.757019;2471.149902;2;-175.712341;-205.081818;1875.599976;2;-249.419662;-220.493286;1767.941772;2;-226.633118;-257.190002;1783.053467;2;-139.651184;-272.674896;1837.251709;2;-261.962769;-242.292709;1801.953491;2;-249.389053;-236.186646;1908.160400
366888;1;2;44.360107;70.464241;2367.400879;2;-14.718943;-48.691349;2259.058594;2;-75.045570;-72.536201;2138.231201;2;-144.776611;-185.442154;1977.087891;2;-104.250801;-164.753082;1989.366577;2;-13.144485;-84.787682;1924.572510;2;-30.584238;138.001343;1780.827637;2;-114.349716;307.284607;1662.248169;2;-149.957565;375.937775;1611.342896;2;-179.762299;466.684296;1570.461304;2;-161.149063;386.881592;1580.733276;2;-161.527664;-170.497330;2018.919922;2;-273.789490;-124.323639;2054.345947;2;-276.256927;144.782333;2083.912598;2;-237.546936;367.200684;2089.684570;0;-291.596954;399.024353;2012.197754;0;-205.974792;432.395935;2056.744873;0;-202.073227;403.682983;1956.113159;2;123.032013;66.452461;2328.913330;2;115.901184;319.804779;2039.199097;2;162.874222;635.068298;2222.870605;2;163.759964;718.379150;2063.165527;2;-26.581808;74.081841;2402.106689;1;-95.280457;393.929840;2200.038574;1;45.820400;550.521362;2506.248779;1;-10.401380;695.540649;2449.021729;2;-174.725601;-216.570465;1911.488770;2;-240.912003;-211.425980;1771.971313;2;-217.548538;-257.727234;1786.351318;2;-126.509727;-289.238617;1861.031738;2;-261.889893;-242.595947;1804.576782;2;-266.556335;-255.876480;1929.767700
400211;1;2;39.935223;79.058578;2457.690430;2;-9.361729;-32.267548;2317.519775;2;-54.005188;-78.785408;2183.823486;2;-142.116379;-185.390778;2005.160767;2;-96.260651;-167.700821;2018.809326;2;2.675667;-93.852592;1935.801270;2;-13.896631;142.222153;1772.398804;2;-114.110741;317.696289;1640.385620;2;-163.479630;391.610870;1594.108032;2;-195.810226;497.403320;1573.909912;2;-156.781601;411.741089;1561.151001;2;-158.221970;-169.772537;2051.388184;2;-282.436707;-115.596008;2070.539062;2;-274.392731;176.610962;2090.926514;2;-243.026886;418.994537;2094.430420;0;-297.676270;503.107605;2054.672363;0;-208.565353;437.913788;2059.805664;0;-199.932114;402.533051;1952.725708;2;130.246292;75.461754;2428.785645;2;123.817772;251.722061;2051.336670;2;148.666748;609.438660;2224.416992;2;140.882385;721.874695;2065.332764;2;-41.502243;82.301994;2483.755371;2;-94.406929;393.044922;2212.014648;1;21.333374;610.088745;2530.424072;1;-8.788830;775.529480;2467.993652;2;-178.208038;-212.663269;1933.185425;2;-242.669846;-203.861237;1779.132568;2;-218.374573;-254.398407;1794.904907;2;-123.892975;-290.565186;1879.585449;2;-267.160126;-238.127060;1812.675537;2;-278.615356;-255.014359;1947.492310
433555;1;2;41.455303;85.081802;2466.386230;2;-8.545537;-27.391226;2325.697510;2;-54.013832;-73.870865;2191.140625;2;-140.779053;-182.466034;2011.066895;2;-94.764168;-164.544861;2025.175293;2;4.486859;-91.766823;1939.805786;2;-13.456286;141.002914;1768.530884;2;-113.594780;314.431549;1630.856812;2;-163.280212;391.098267;1588.039062;2;-191.033432;498.040314;1563.308716;2;-156.721176;411.039459;1553.335327;2;-157.492661;-166.428528;2057.325928;2;-283.304871;-112.464485;2073.036133;2;-279.599274;181.901779;2092.422607;2;-261.271393;427.169495;2100.900146;0;-318.667847;519.215637;2106.803955;0;-228.063553;458.524231;2084.621582;0;-233.425568;452.772095;1961.932129;2;132.266388;81.583801;2436.908447;2;123.231804;248.227539;2052.068604;2;148.117844;608.194702;2226.741699;2;146.453888;720.620850;2065.843018;2;-40.433044;88.236099;2492.967773;1;-130.449081;412.998016;2243.966309;1;-6.826736;639.569031;2556.197754;1;-46.977516;802.782043;2490.125488;2;-176.337067;-210.433746;1938.408447;2;-242.888565;-198.218079;1784.234131;2;-216.769363;-248.851715;1798.145142;2;-119.819893;-285.275940;1881.319824;2;-266.191406;-234.587967;1816.990112;2;-275.970245;-256.584106;1952.145874
466877;1;2;41.457443;85.186577;2466.390137;2;-8.542426;-27.281113;2325.667480;2;-54.006012;-73.751480;2191.086182;2;-140.756989;-182.361664;2010.980835;2;-94.736298;-164.447815;2025.101685;2;4.611373;-91.735397;1939.757568;2;-13.076442;140.707977;1767.955811;2;-112.908165;313.994843;1629.830566;2;-162.197845;390.553497;1586.339233;2;-189.534668;497.294373;1560.251831;2;-155.759460;409.669037;1551.176636;2;-157.481766;-166.312149;2057.238525;2;-283.334808;-112.368050;2072.832275;2;-280.007233;182.065750;2091.786865;2;-262.126343;427.403687;2100.027100;0;-319.648407;519.103271;2109.348633;0;-229.427841;459.221832;2083.618652;0;-241.841522;461.037048;1959.851074;2;132.281769;81.686554;2436.916748;2;123.286041;248.498856;2052.095215;2;148.157425;608.425598;2226.962158;2;146.495865;721.028198;2066.158447;2;-40.442841;88.342705;2492.967529;2;-128.920898;413.292755;2243.577393;1;-6.367162;640.033875;2556.168213;1;-46.341801;803.252563;2489.945068;2;-176.305450;-210.333435;1938.307373;2;-242.505219;-198.072098;1783.963623;2;-216.624023;-248.799774;1798.005615;2;-119.983292;-285.508575;1881.439209;2;-266.028900;-234.297897;1816.732056;2;-276.170898;-256.048920;1951.917358
500222;1;2;39.669296;81.639679;2478.268311;2;-8.627274;-28.341270;2333.522949;2;-53.926903;-75.142288;2197.989014;2;-139.296219;-179.524643;2013.030029;2;-93.060104;-162.283981;2028.375610;2;8.296549;-89.345490;1943.983032;2;-11.111554;140.362320;1765.818848;2;-102.790039;315.331055;1621.675903;2;-157.156143;385.588989;1572.533691;2;-188.277252;492.083313;1546.672607;2;-158.574097;407.554260;1540.955811;2;-156.722168;-164.235657;2059.639404;2;-283.380554;-109.515038;2073.345459;2;-284.017059;186.411621;2096.883789;2;-271.273315;433.369934;2109.878418;0;-320.149292;530.931213;2116.351074;0;-233.759338;460.129181;2108.413574;0;-294.926575;508.725952;1989.285889;2;130.832352;81.763878;2447.756104;2;124.181892;242.349960;2057.478516;2;149.080215;606.930908;2228.277100;2;143.828278;722.185730;2067.964111;2;-42.536423;81.527679;2505.782715;2;-129.049179;448.919159;2317.887451;1;-14.857955;664.375305;2644.524658;1;-61.957916;827.480591;2579.707031;2;-174.135910;-205.692932;1938.742554;2;-241.574738;-192.316757;1783.904419;2;-215.820160;-243.590393;1797.692993;2;-118.359116;-281.524139;1880.918579;2;-265.306702;-228.711700;1816.883423;2;-274.855896;-251.013641;1952.873047
533544;1;2;29.407072;93.082977;2481.480957;2;-15.648398;-20.264923;2336.336914;2;-56.390583;-69.045052;2198.737793;2;-139.493546;-181.706451;2015.349609;2;-93.118103;-163.790222;2030.889038;2;10.404944;-94.322701;1944.083374;2;-9.703296;139.638626;1767.737183;2;-102.139381;316.697601;1623.318848;2;-154.029724;383.890930;1566.188965;2;-175.312469;493.282135;1538.508545;2;-157.880447;409.518829;1537.084473;2;-157.822540;-164.337479;2061.343994;2;-285.210724;-107.809708;2071.753418;2;-283.065186;190.267242;2097.825684;2;-272.162659;439.030304;2115.056396;0;-318.989075;538.649780;2119.850830;0;-238.288483;459.740753;2120.244629;0;-320.952209;557.853455;2073.815918;2;122.566063;89.953278;2455.006592;2;125.669762;237.122955;2055.851807;2;148.960449;603.519531;2230.552979;2;144.263626;720.416138;2069.470459;2;-54.598484;95.905167;2505.354004;1;-144.617966;452.496277;2292.414551;1;-40.587685;660.715210;2630.982666;1;-86.635765;827.445129;2570.724609;2;-173.386948;-211.087219;1941.028320;2;-240.085236;-193.299789;1784.839478;2;-215.264694;-245.749985;1797.913696;2;-118.355339;-287.542023;1881.647339;2;-264.952881;-230.107254;1817.239014;2;-275.898834;-254.953568;1953.801147
566888;1;2;29.558397;88.666954;2482.986328;2;-16.450371;-23.938910;2337.426025;2;-57.905594;-70.841476;2199.294678;2;-142.121857;-178.670380;2013.364258;2;-95.501762;-161.792343;2029.422729;2;9.918436;-92.091866;1944.970093;2;-6.145783;142.098938;1768.240479;2;-99.872269;318.716309;1623.877563;2;-154.133789;384.470978;1567.175659;2;-173.261322;492.128723;1531.900879;2;-156.999054;408.081543;1535.530151;2;-160.362045;-161.887924;2059.644531;2;-287.187561;-103.944153;2070.188965;2;-284.220795;193.927109;2100.161377;2;-273.288177;442.537018;2121.187744;0;-330.222717;536.211182;2132.889648;0;-245.660400;461.427277;2129.694092;0;-317.834778;567.548157;2136.265869;2;122.675232;85.241867;2456.203613;2;125.238541;235.361633;2057.890381;2;148.911636;604.590515;2227.018066;2;143.786667;722.533020;2066.574463;2;-54.409145;91.755501;2507.137451;1;-154.077713;442.963715;2289.135010;1;-51.328106;659.595642;2623.062744;1;-99.758942;826.405457;2564.609375;2;-176.206680;-206.085236;1938.326172;2;-243.176315;-190.735336;1781.890381;2;-214.183090;-241.242096;1794.155640;2;-114.642082;-276.592041;1877.891235;2;-265.143799;-230.124832;1813.389648;2;-274.886871;-258.517242;1949.430176
600222;1;2;29.563328;88.680984;2483.008301;2;-16.445740;-23.914762;2337.447021;2;-57.901592;-70.801765;2199.315186;2;-142.124222;-178.594528;2013.374512;2;-95.504402;-161.721100;2029.433960;2;9.913698;-92.007599;1944.996826;2;-6.147297;142.229141;1768.340942;2;-99.871002;318.882446;1624.031616;2;-154.137970;384.659882;1567.366455;2;-173.272156;492.331848;1532.148926;2;-157.024918;408.308411;1535.752808;2;-160.362091;-161.819550;2059.656738;2;-287.183289;-103.878937;2070.220215;2;-284.209686;193.967072;2100.361328;2;-273.310333;442.558472;2121.543457;0;-330.157227;536.208130;2133.825439;0;-245.627258;461.426483;2129.909668;0;-317.658600;567.531372;2137.375000;2;122.677391;85.257050;2456.225342;2;125.252724;235.393021;2057.930664;2;148.916779;604.604309;2227.071289;2;143.840317;722.546082;2066.632568;2;-54.401718;91.768494;2507.159668;1;-154.137253;442.938721;2289.149170;1;-51.435234;659.629272;2623.040039;1;-99.912247;826.413879;2564.568115;2;-176.211105;-205.995239;1938.334839;2;-243.218811;-190.556961;1781.929199;2;-214.224503;-241.069916;1794.158569;2;-114.665520;-276.468048;1877.846436;2;-265.178619;-229.962341;1813.411377;2;-274.887115;-258.429474;1949.434937
633555;1;2;32.686382;87.203003;2477.164062;2;-13.934482;-24.401188;2332.664062;2;-55.965706;-69.808411;2195.309326;2;-139.752625;-174.182770;2009.107788;2;-93.432587;-157.642593;2025.268066;2;11.442863;-87.376740;1942.428589;2;-3.378067;147.308533;1769.515259;2;-98.596138;323.224915;1628.085938;2;-152.343796;389.793213;1573.091431;2;-175.139435;494.559479;1533.972168;2;-157.231293;410.370117;1540.935547;2;-157.837006;-158.203873;2055.339844;2;-283.521698;-100.787743;2069.543213;2;-287.062286;195.114807;2099.193115;2;-265.831970;441.973511;2111.619385;0;-323.464264;518.934509;2164.043457;0;-238.972473;454.152222;2128.695312;0;-305.218597;557.588440;2175.537354;2;125.036400;83.726341;2450.053711;2;126.808495;237.224228;2056.052734;2;147.706131;604.755066;2222.761963;2;146.359116;721.611145;2063.083252;2;-50.589687;90.338066;2501.610596;1;-156.937103;436.953369;2284.896973;1;-53.879963;654.908569;2614.496826;1;-104.255844;820.273987;2557.395508;2;-173.668060;-200.311996;1934.198608;2;-240.908630;-187.090973;1778.922119;2;-212.300186;-237.218903;1791.725098;2;-113.174500;-271.571289;1874.933105;2;-262.768280;-225.625458;1810.915283;2;-271.898956;-251.717682;1946.515503
