LFHD (x);LFHD (y);LFHD (z);RFHD (x);RFHD (y);RFHD (z);LBHD (x);LBHD (y);LBHD (z);RBHD (x);RBHD (y);RBHD (z);C7 (x);C7 (y);C7 (z);T10 (x);T10 (y);T10 (z);CLAV (x);CLAV (y);CLAV (z);STRN (x);STRN (y);STRN (z);RBAK (x);RBAK (y);RBAK (z);LSHO (x);LSHO (y);LSHO (z);LUPA (x);LUPA (y);LUPA (z);LELB (x);LELB (y);LELB (z);LFRM (x);LFRM (y);LFRM (z);LWRA (x);LWRA (y);LWRA (z);LWRB (x);LWRB (y);LWRB (z);LFIN (x);LFIN (y);LFIN (z);RSHO (x);RSHO (y);RSHO (z);RUPA (x);RUPA (y);RUPA (z);RELB (x);RELB (y);RELB (z);RFRM (x);RFRM (y);RFRM (z);RWRA (x);RWRA (y);RWRA (z);RWRB (x);RWRB (y);RWRB (z);RFIN (x);RFIN (y);RFIN (z);LASI (x);LASI (y);LASI (z);RASI (x);RASI (y);RASI (z);LPSI (x);LPSI (y);LPSI (z);RPSI (x);RPSI (y);RPSI (z);LTHI (x);LTHI (y);LTHI (z);LKNE (x);LKNE (y);LKNE (z);LTIB (x);LTIB (y);LTIB (z);LANK (x);LANK (y);LANK (z);LHEE (x);LHEE (y);LHEE (z);LTOE (x);LTOE (y);LTOE (z);RTHI (x);RTHI (y);RTHI (z);RKNE (x);RKNE (y);RKNE (z);RTIB (x);RTIB (y);RTIB (z);RANK (x);RANK (y);RANK (z);RHEE (x);RHEE (y);RHEE (z);RTOE (x);RTOE (y);RTOE (z)
126.105995;-94.086739;1512.255737;1.704603;-28.101801;1511.728394;193.201996;51.411339;1495.605591;67.867859;96.44471;1499.101807;137.33848600000002;132.84698500000002;1354.299072;143.06243899999998;190.74968;998.734314;127.589226;-0.235915;1264.135132;125.39978;-44.964008;1063.538696;-7.387927;201.313049;1215.538574;303.82171600000004;19.966555;1334.841797;384.508789;9.855309;1107.113281;441.110535;66.154076;975.231323;435.054291;-8.34116;821.32019;403.737488;-55.724689;754.364014;483.517151;30.338202000000003;735.026001;435.138397;-72.577896;633.5676269999999;-55.453789;52.69051700000001;1318.698975;-140.566833;133.78775;1083.23938;-156.90188600000002;154.762558;972.758972;-165.879959;100.218887;862.419922;-108.861908;35.219947999999995;723.050232;-201.390839;110.173096;719.2448730000001;-165.30296299999998;24.785278;595.855713;270.542786;-16.366779;763.268982;-22.41474;-3.035775;787.578125;186.44046;199.60231;841.5200199999999;85.458916;199.911087;837.7186889999999;332.164368;59.42114300000001;417.62738;307.493958;79.972923;262.779877;306.287506;157.675415;10.027742;293.847717;161.060547;-210.316925;229.828033;188.336975;-233.249985;321.184052;-28.18338;-260.598694;-81.486458;59.766918;558.327637;-33.597782;100.532684;245.960037;-35.606094;147.6828;85.885681;-16.246166;135.620422;-216.694733;45.317181;173.511871;-252.861343;-42.181587;-42.907253;-259.72573900000003
126.110985;-94.317039;1512.418091;1.616004;-28.417126;1511.7928470000002;192.996155;51.335564;1495.5314939999998;67.68718;96.038162;1499.137207;137.265182;132.500809;1354.352905;142.948914;190.490036;998.751587;127.478508;-0.4993979999999999;1264.147827;125.36274;-45.210308000000005;1063.390137;-7.4828;201.043961;1215.599487;303.72857700000003;19.499731;1334.766357;384.37265;9.700656;1107.080811;440.88858;66.23835;975.154724;434.805634;-7.619558;820.953491;403.462708;-54.687271;753.762695;483.384064;31.145042;734.909119;434.981232;-71.222099;633.206421;-55.575897;52.370621;1318.612671;-140.73713700000002;133.77298000000002;1083.2966310000002;-157.084824;154.887589;972.760559;-166.009781;100.628296;862.298645;-108.899498;35.771229;722.984558;-201.494797;110.618462;719.2676389999999;-165.405594;25.379669;595.630493;270.506836;-16.473951;763.310608;-22.457708;-3.14428;787.508301;186.406494;199.493057;841.5593259999999;85.449768;199.780991;837.789001;332.208557;59.171291;417.615997;307.558563;79.659279;262.760834;306.304382;157.436798;10.039541;293.818787;161.0177;-210.34108;229.81459;188.342804;-233.221588;321.14804100000003;-28.155161;-260.605316;-81.49700899999999;59.716644;558.308167;-33.672996999999995;100.465752;245.965469;-35.667141;147.61691299999998;85.869049;-16.283913000000002;135.995468;-216.387878;46.653942;173.23095700000002;-251.215424;-42.181149;-42.875076;-259.66705299999995
126.038956;-94.624435;1512.560181;1.544864;-28.755838;1511.877075;190.829681;51.759335;1497.229126;71.900467;93.242149;1498.988892;137.218536;132.103699;1354.391235;142.920044;190.211349;998.882629;127.452461;-0.781924;1264.274658;125.257179;-45.334667;1063.182861;-7.517595;200.806412;1215.724487;303.57962000000003;18.846321;1334.772339;384.190521;9.51618;1107.014648;440.702576;66.303444;975.160889;434.577942;-7.089362;820.826233;403.107697;-53.83811600000001;753.270386;483.145752;32.15332;734.597534;434.771881;-69.815445;632.615723;-55.697784;51.900558;1318.5119630000002;-140.913147;133.766937;1083.337402;-157.244125;155.075867;972.789673;-166.141602;100.982437;862.301208;-109.014763;36.322376;722.895691;-201.622223;111.040932;719.2993769999999;-165.425003;26.044384;595.533325;270.419678;-16.601145000000002;763.244507;-22.514648;-3.254613;787.444824;186.321442;199.363754;841.4910279999999;85.378662;199.638626;837.797913;332.250214;58.809792;417.562653;307.592468;79.324249;262.699646;306.281219;157.13472;9.943042;293.818573;160.976578;-210.342239;229.474213;187.953003;-234.201752;321.45462000000003;-28.22216;-260.125519;-81.529747;59.81448;557.846191;-33.711864;100.367149;245.9888;-35.768097;147.537537;85.874657;-16.288797;136.03131100000002;-216.383514;46.650974;173.268661;-251.201157;-42.21933;-42.840523;-259.689911
125.924957;-94.922409;1512.675049;1.207248;-29.140686;1511.885742;190.706848;51.473839;1497.269165;67.240311;95.439903;1499.21936;137.184616;131.717575;1354.4375;142.897446;189.908127;998.964905;127.432671;-1.088977;1264.352539;125.108124;-45.530533;1063.0115970000002;-7.551717999999999;200.54863;1215.822266;303.473053;18.343872;1334.786499;384.033234;9.347703;1106.983032;440.486237;66.351486;975.193909;434.364868;-6.419067;820.548218;402.825226;-52.833126;752.717346;483.0190730000001;32.86179;734.59729;434.532867;-68.418999;632.072815;-55.898346;51.395454;1318.35144;-141.094727;133.714325;1083.386108;-157.373062;155.227097;972.817627;-166.211929;101.250351;862.3312380000001;-109.161186;36.795376;722.831665;-201.712158;111.481163;719.333801;-165.511139;26.770279;595.367371;270.307343;-16.756001;763.224365;-22.552004;-3.426313;787.416931;186.211121;199.206833;841.468628;85.33844;199.502594;837.850708;332.23587000000003;58.347015;417.521484;307.62744100000003;78.936256;262.702423;306.321411;156.792938;9.902572;293.866119;160.941605;-210.303177;229.569412;188.205429;-233.714371;321.405914;-28.212297;-260.155121;-81.30879200000001;59.548809;558.977783;-33.758831;100.155991;246.01181;-35.856041;146.64846799999998;85.217438;-16.347936999999998;136.07873500000002;-216.386398;46.644318;173.34668;-251.258377;-42.225849;-42.764072;-259.58837900000003
125.770195;-95.317459;1512.808594;1.212373;-29.56175;1512.025635;190.578979;51.143879;1497.279419;66.888977;95.099022;1499.2966310000002;136.99916100000002;131.187729;1354.327148;142.949142;189.672318;999.125061;127.487198;-1.328647;1264.508545;125.011383;-45.79158;1063.016357;-7.609486;200.143005;1215.898315;303.369934;17.895254;1334.778809;383.884766;9.101027;1106.98645;440.26596100000006;66.391739;975.240356;434.153503;-5.729106;820.3743900000001;402.607941;-51.994244;752.4343259999999;482.851685;33.928673;734.551147;434.235809;-67.149857;631.647827;-56.053471;50.875957;1318.192627;-141.262497;133.688156;1083.443359;-157.53561399999998;155.37351999999998;972.872559;-166.350525;101.71347;862.2474980000001;-109.242516;37.297955;722.7958980000001;-201.802628;111.973541;719.4188230000001;-165.599976;27.46323;595.1862179999999;270.17877200000004;-16.960236;763.1550900000001;-22.633842;-3.525395;787.343262;186.084579;199.000519;841.397156;85.231827;199.325195;837.8291019999999;332.198029;57.87700699999999;417.439758;307.710632;78.47823299999999;262.713348;306.33892799999995;156.439392;9.802984;293.90451;160.944901;-210.311646;229.398087;188.012039;-234.375427;321.39386;-28.168877;-260.074493;-81.34677099999999;59.376339;558.930176;-33.818192;99.967613;246.039627;-35.983498;146.985703;85.673019;-16.383904;136.100723;-216.410919;46.635864;173.428986;-251.306946;-42.311314;-42.650745;-259.564667
125.646439;-95.720161;1512.921265;0.864559;-29.996277000000003;1512.037842;190.37616;50.799675;1497.252441;66.667091;94.776237;1499.172241;136.88884;130.662216;1354.344971;143.006073;189.423355;999.299072;127.546921;-1.58146;1264.678223;124.849403;-46.066784000000006;1062.987061;-7.688241;199.652145;1215.935059;303.152588;17.121057999999998;1334.772095;383.746368;8.848803;1106.954834;440.025269;66.438858;975.334412;433.930878;-5.256842;820.300293;402.367767;-51.100571;752.0782469999999;482.65802;34.701767;734.579651;433.880524;-65.809845;631.180054;-56.234947;50.407406;1318.002563;-141.436508;133.636856;1083.505737;-157.707336;155.624634;972.902527;-166.51535;101.989655;862.273254;-109.33566299999998;37.77702;722.749695;-201.907791;112.52298;719.48291;-165.63343799999998;27.924063;595.187012;270.089996;-17.161131;763.161072;-22.662579;-3.72347;787.332642;185.997879;198.797562;841.4008789999999;85.18190799999999;199.148956;837.848022;332.17627000000005;57.429001;417.342651;307.825897;77.91947900000001;262.6922;306.461731;156.123047;9.732044;293.95376600000003;160.927032;-210.352905;229.524994;188.280838;-233.774658;321.40332;-28.132805;-260.06097400000004;-81.44313000000001;59.148254;558.9805299999999;-33.956696;99.648537;246.007904;-36.1483;146.58046000000002;85.582748;-16.40699;136.14325;-216.420578;46.610958;173.48855600000002;-251.364136;-42.352108;-42.499924;-259.506073
125.536949;-96.04776;1512.969727;0.8364020000000001;-30.462442;1512.045166;190.184631;50.528107;1497.355835;71.13000500000001;91.791199;1498.933594;136.71362299999998;130.025055;1354.282593;142.990524;189.115326;999.324036;127.53418;-1.893342;1264.698608;124.56488;-46.36488;1062.955811;-7.813001;199.233856;1216.017944;302.964966;16.44652;1334.803345;383.615234;8.587902;1106.91626;439.804138;66.468887;975.398132;433.692291;-4.786141000000001;820.104736;402.190979;-50.444595;751.845642;482.40554800000007;35.395676;734.561157;433.572266;-64.555862;630.793457;-56.394539;49.837929;1317.788696;-141.591919;133.598007;1083.538696;-157.83847;155.803452;972.989197;-166.680222;102.260292;862.2553710000001;-109.542992;38.126705;722.776306;-202.079193;113.04464;719.539978;-165.637573;28.476278000000004;595.1575320000001;270.020721;-17.452060999999997;763.173584;-22.716825;-3.832183;787.2901;185.930725;198.504562;841.4111939999999;85.148399;198.963531;837.881714;332.217133;56.965908;417.304169;307.886963;77.343239;262.603821;306.562531;155.851089;9.692921;294.0336;160.971634;-210.36557;229.591965;188.449509;-233.622818;321.411743;-28.087145;-260.019989;-81.437508;58.832676;559.0769650000001;-34.136154;99.150703;246.121078;-36.395275;146.01416;85.497803;-16.460873;136.19851699999998;-216.429382;46.581898;173.653534;-251.501709;-42.403713;-42.411602;-259.335571
125.454247;-96.4235;1513.046997;0.506378;-30.988041;1512.006226;190.045578;50.197933;1497.382935;66.420601;93.678383;1498.892212;136.55566399999998;129.367828;1354.239624;143.041;188.769852;999.444519;127.587494;-2.242655;1264.814941;124.437164;-46.646931;1062.831299;-7.833627000000001;198.915695;1216.154419;302.798676;15.925776;1334.729858;383.528381;8.323632;1106.883789;439.627777;66.473885;975.475708;433.305603;-4.147696;819.891479;401.884064;-49.635376;751.46228;482.24765;36.179428;734.4833980000001;433.267609;-63.56565500000001;630.431946;-56.531765;49.228401;1317.666748;-141.795624;133.558456;1083.554321;-157.993637;155.956268;973.032593;-166.881439;102.429451;862.3355710000001;-109.622406;38.542442;722.702576;-202.237869;113.528854;719.5271;-165.910019;29.163435;594.889709;269.981445;-17.755985;763.2578129999999;-22.805019;-3.940171;787.228088;185.893478;198.198563;841.4929810000001;85.20837399999999;198.741028;837.9453129999999;332.286591;56.54187;417.33432;307.903595;76.92519399999999;262.504517;306.666534;155.575623;9.667599;294.153412;161.051895;-210.335968;230.125351;188.706009;-232.524551;321.458588;-28.01582;-259.97616600000003;-81.538208;58.66529499999999;558.992981;-34.377621000000005;98.566292;246.208435;-36.520092;145.487869;85.615166;-16.484341;136.262024;-216.479889;45.715973;174.418777;-253.06282;-42.493198;-42.244232;-259.261078
125.332993;-96.901596;1513.141846;0.2771659999999999;-31.569876;1511.953857;189.762283;49.70929;1497.431885;70.635071;90.431541;1498.605591;136.433273;128.727432;1354.32312;143.124069;188.327972;999.528992;127.673386;-2.688378;1264.895142;124.281784;-46.942162;1062.674683;-7.901281;198.499207;1216.255981;302.451782;15.002745999999998;1334.6875;383.434021;8.034711999999999;1106.880737;439.452301;66.43543199999999;975.536804;433.166962;-3.790069;819.7025150000001;401.549927;-49.179943;751.355591;482.092957;36.756783;734.568726;432.977386;-62.501499;629.997681;-56.793987;48.606693;1317.532959;-141.983307;133.470428;1083.540161;-158.16655;156.120361;973.07428;-167.118271;102.741081;862.3451539999999;-109.663811;38.951992;722.648987;-202.394257;113.953117;719.477844;-166.008179;29.598902;594.886414;270.081329;-18.019794;763.441711;-22.860449;-4.077152;787.21051;185.995453;197.932663;841.674683;85.254242;198.487167;838.007568;332.293976;56.052044;417.316376;308.019684;76.478065;262.447205;306.81451400000003;155.318756;9.710109;294.270782;161.13443;-210.360382;229.756561;188.604416;-233.581375;321.485474;-27.97053;-259.926056;-81.657478;58.301956;559.148865;-34.640099;97.854736;246.211823;-36.789585;145.017624;85.526253;-16.547224;136.391312;-216.448654;45.665024;174.496994;-253.151413;-42.599545;-42.092754;-259.061523
125.105698;-97.507599;1513.202759;0.083621;-32.153168;1511.949707;189.482468;49.2146;1497.5115970000002;66.014893;92.53981;1498.7380369999998;135.849808;127.73141499999998;1353.903687;143.231155;187.885651;999.600098;127.783295;-3.1345490000000003;1264.96167;124.056023;-47.303848;1062.582397;-7.955698;197.909744;1216.393311;302.16037;14.293593;1334.602051;383.382721;7.684339;1106.903198;439.313049;66.350555;975.606445;432.962524;-3.498672;819.5029910000001;401.183441;-48.480595;751.002075;481.9478150000001;37.247292;734.618652;432.587128;-61.544437;629.677307;-57.052719;48.067097;1317.370117;-142.142258;133.399643;1083.56543;-158.313522;156.238144;973.134277;-167.319305;102.936386;862.3521119999999;-109.804527;39.229568;722.631653;-202.527023;114.303291;719.42865;-166.13871799999998;30.13105;594.854065;270.269409;-18.27541;763.69812;-22.9583;-4.16926;787.205872;186.185577;197.674942;841.9288939999999;85.395248;198.226898;838.15918;332.320068;55.509972;417.308075;308.187225;75.88700899999999;262.511658;306.923401;155.090866;9.755826;294.398865;161.230453;-210.337677;228.804932;188.739807;-236.740738;321.490936;-27.909807;-259.891785;-81.815636;58.063728000000005;559.0586549999999;-34.901108;97.06778;246.145844;-36.960083;144.546753;85.491249;-16.607605;136.534821;-216.44902;45.639103000000006;174.592834;-253.227798;-42.704247;-41.87952;-258.966339
